Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
505,105.37,0.4187,135.00,105.37,272095
506,394.17,0.4173,445.00,394.17,272992
507,320.70,0.4159,375.00,320.70,273964
508,176.32,0.4145,210.00,176.32,274570
509,98.37,0.4131,120.00,98.37,274940
510,181.41,0.4117,210.00,181.41,275452
511,128.35,0.4102,155.00,128.35,275936
512,55.00,0.4088,80.00,55.00,276385
513,151.95,0.4074,180.00,151.95,276866
514,176.04,0.4060,210.00,176.04,277459
515,118.97,0.4046,145.00,118.97,277935
516,188.72,0.4032,230.00,188.72,278665
517,243.46,0.4018,280.00,243.46,279315
518,14.76,0.4003,35.00,14.76,279680
519,85.23,0.3989,120.00,85.23,280273
520,231.30,0.3975,270.00,231.30,280963
521,111.66,0.3961,145.00,111.66,281535
522,82.97,0.3947,120.00,82.97,282201
523,156.08,0.3933,190.00,156.08,282798
524,94.58,0.3919,125.00,94.58,283357
525,104.10,0.3904,130.00,104.10,283819
526,96.84,0.3890,120.00,96.84,284232
527,103.38,0.3876,135.00,103.38,284756
528,9.51,0.3862,30.00,9.51,285139
529,149.25,0.3848,180.00,149.25,285682
530,138.11,0.3834,185.00,138.11,286490
531,92.75,0.3820,120.00,92.75,286977
532,149.07,0.3805,210.00,149.07,288011
533,87.42,0.3791,110.00,87.42,288396
534,109.64,0.3777,140.00,109.64,288951
535,247.92,0.3763,285.00,247.92,289629
536,104.07,0.3749,135.00,104.07,290173
537,152.00,0.3735,180.00,152.00,290669
538,155.00,0.3721,195.00,155.00,291359
539,129.03,0.3706,160.00,129.03,291914
540,107.45,0.3692,140.00,107.45,292490
541,159.96,0.3678,215.00,159.96,293438
542,62.97,0.3664,85.00,62.97,293835
543,194.20,0.3650,240.00,194.20,294638
544,214.48,0.3636,250.00,214.48,295260
545,28.29,0.3622,50.00,28.29,295648
546,142.87,0.3607,185.00,142.87,296396
547,180.51,0.3593,210.00,180.51,296908
548,162.45,0.3579,215.00,162.45,297838
549,103.56,0.3565,135.00,103.56,298391
550,107.91,0.3551,135.00,107.91,298878
551,197.06,0.3537,230.00,197.06,299476
552,204.59,0.3523,240.00,204.59,300109
553,138.19,0.3508,170.00,138.19,300680
554,144.90,0.3494,185.00,144.90,301390
555,268.72,0.3480,315.00,268.72,302216
556,190.05,0.3466,235.00,190.05,302984
557,408.48,0.3452,460.00,408.48,303866
558,181.36,0.3438,215.00,181.36,304446
559,43.55,0.3424,65.00,43.55,304823
560,133.39,0.3409,160.00,133.39,305292
561,109.56,0.3395,135.00,109.56,305746
562,147.40,0.3381,180.00,147.40,306315
563,204.23,0.3367,235.00,204.23,306864
564,415.26,0.3353,460.00,415.26,307629
565,14.81,0.3339,35.00,14.81,307968
566,300.95,0.3325,335.00,300.95,308562
567,157.02,0.3310,185.00,157.02,309061
568,82.02,0.3296,105.00,82.02,309440
569,85.22,0.3282,110.00,85.22,309858
570,232.24,0.3268,275.00,232.24,310631
571,137.93,0.3254,180.00,137.93,311362
572,80.67,0.3240,110.00,80.67,311883
573,171.92,0.3226,210.00,171.92,312498
574,106.58,0.3211,130.00,106.58,312903
575,241.95,0.3197,285.00,241.95,313654
576,354.26,0.3183,410.00,354.26,314599
577,151.75,0.3169,180.00,151.75,315091
578,130.90,0.3155,160.00,130.90,315588
579,336.26,0.3141,380.00,336.26,316357
580,76.71,0.3127,105.00,76.71,316863
581,183.09,0.3112,215.00,183.09,317428
582,51.68,0.3098,90.00,51.68,318100
583,123.81,0.3084,165.00,123.81,318820
584,174.15,0.3070,210.00,174.15,319458
585,376.73,0.3056,415.00,376.73,320094
586,307.22,0.3042,345.00,307.22,320779
587,9.83,0.3028,35.00,9.83,321213
588,82.97,0.3013,105.00,82.97,321597
589,83.43,0.2999,110.00,83.43,322082
590,174.29,0.2985,210.00,174.29,322704
591,99.21,0.2971,130.00,99.21,323241
592,101.79,0.2957,135.00,101.79,323848
593,164.96,0.2943,195.00,164.96,324382
594,110.47,0.2929,140.00,110.47,324906
595,13.77,0.2914,30.00,13.77,325166
596,195.33,0.2900,230.00,195.33,325785
597,80.23,0.2886,110.00,80.23,326313
598,15.27,0.2872,30.00,15.27,326568
599,440.24,0.2858,495.00,440.24,327503
600,136.99,0.2844,165.00,136.99,328000
601,216.63,0.2830,255.00,216.63,328637
602,505.58,0.2815,560.00,505.58,329578
603,346.77,0.2801,405.00,346.77,330573
604,88.85,0.2787,120.00,88.85,331099
605,91.04,0.2773,115.00,91.04,331536
606,33.70,0.2759,50.00,33.70,331824
607,44.74,0.2745,70.00,44.74,332238
608,411.47,0.2731,455.00,411.47,332985
609,125.72,0.2716,155.00,125.72,333490
610,197.15,0.2702,235.00,197.15,334148
611,173.62,0.2688,210.00,173.62,334772
612,117.42,0.2674,145.00,117.42,335256
613,137.16,0.2660,180.00,137.16,335988
614,428.70,0.2646,475.00,428.70,336797
615,529.07,0.2632,585.00,529.07,337750
616,257.20,0.2617,310.00,257.20,338673
617,153.14,0.2603,180.00,153.14,339143
618,335.56,0.2589,390.00,335.56,340073
619,95.84,0.2575,125.00,95.84,340607
620,432.56,0.2561,480.00,432.56,341403
621,144.25,0.2547,180.00,144.25,342010
622,208.28,0.2533,255.00,208.28,342814
623,90.90,0.2518,135.00,90.90,343587
624,234.76,0.2504,275.00,234.76,344288
625,147.56,0.2490,180.00,147.56,344871
626,106.09,0.2476,130.00,106.09,345271
